class_alegria,class_desgosto,class_medo,class_raiva,class_surpresa,class_tristeza,class_neutro,texto
0,1,1,0,0,1,0,"Falta de iluminação pública deixa moradores com medo em Maceió. Parte alta da cidade está com ruas totalmente escuras. Moradores reclamam que a escuridão facilita ações de bandidos."
0,1,0,0,0,0,1,"Japão tem pior queda em venda de automóveis desde 1968: Número de veículos vendidos no Japão caiu 28,6% em abril. Foram negociados 166.365 veículos, contra 232.993 um anos antes."
0,1,0,0,0,1,0,"Homicídio em boate de RO está ligado a 'gangues da internet', diz delegada. Suspeito está foragido e integrava grupo que se articula pelas redes sociais. Menor foi morto com um tiro em frente a casa noturna de Porto Velho."
0,0,1,0,0,1,0,"Atentado contra base da Otan deixa dois mortos no Afeganistão. Suicida explodiu carro quando comboio entrava na base em Kandahar. Mortos são civis. outras 19 pessoas ficaram feridas."
0,1,0,0,1,1,0,"Mãe atira bebê de sete meses de sacada de prédio e tenta fazer o mesmo com a filha de dois anos. Presa por atirar a filha de sete meses da sacada de um prédio e tentar fazer o mesmo com a filha de dois anos em Bento Gonçalves, na serra gaúcha, a mãe disse à polícia que tomou essa atitude para salvar as crianças dos cachorros."
0,1,0,1,0,1,0,"Mãe suspeita de agredir filha de 12 anos a pauladas é presa em Teresina. Criança teve traumatismo craniano e está internada, diz polícia. Enfermeira que atendeu a menina denunciou o caso."
1,1,0,0,0,0,0,"Com financiamento coletivo, brasileira reforma orfanato na África. Renata Galvão colocou projeto em site de financiamento no ano passado. Com 200% da meta atingida, orfanato da Mama Sylvia agora é de concreto."
0,1,0,0,0,1,0,"Mais de 300 pessoas morreram na Síria em apenas um dia. A violência na Síria provocou a morte de mais de 300 pessoas ontem (19) no país, segundo organizações não governamentais (ONGs), incluindo o chefe da Segurança Nacional, Hicham Ikhtiar"
0,1,0,0,0,1,0,"Gaza é alvo de novos ataques israelenses. Os bombardeios aéreos e marítimos prosseguiam contra o território palestino, enquanto centenas de palestinos participavam nesta manhã em Gaza dos funerais de nove integrantes da mesma família, todos mortos na véspera em um ataque israelense contra a sua casa."
0,0,1,0,1,1,0,"Pescador se surpreende ao fisgar tartaruga-aligátor de 45 kg em lago. Dave Harrell capturou animal no lago Eufala, em Oklahoma. Inicialmente, ele pensou que havia fisgado um peixe enorme."
0,1,1,0,0,1,0,"Israel envia especialistas para ajudar nas buscas por estudantes na Nigéria. Equipe com experiência em casos com reféns foi enviada. Mais de 200 estudantes foram sequestradas em abril pelo Boko Haram."
0,1,0,0,1,1,0,"Judiciário vai fazer rodízio de presos em cadeias de Porto Alegre: Objetivo é abrir mais vagas nas penitenciárias da Região Metropolitana. Detentos vão cumprir pena com noites alternadas em casa e na cadeia."
0,1,1,0,0,1,0,"Agente é feito refém na Penitenciária Central do Estado. Ao todo, 15 presos renderam o profissional por volta das 12h30 deta sexta-feira. Detentos pedem a transferência para outra unidade do complexo penitenciário"
1,0,0,0,1,0,0,"Panda gigante surpreende e dá à luz em zoológico na Tailândia: Lin Hui foi inseminada artificialmente, mas não dava sinais de gravidez. Pequeno panda terá de ser devolvido à China quando completar dois anos."
0,0,0,0,0,0,1,"Em entrevista, Dilma diz que não discute sentenças do mensalão. A presidenta Dilma Rousseff disse em entrevista ao jornal espanhol 'El País', publicada neste domingo, que acata as sentenças do STF (Supremo Tribunal Federal) no julgamento do mensalão, mas ponderou que ninguém está 'acima dos erros'."
0,0,1,0,0,1,0,"Comerciante desaparece após roubo no DF: Ênio Souza, de 73 anos, está desaparecido desde o dia 23 de abril. Suspeita mais forte é de assaltado seguido de sequestro, diz polícia."
0,0,1,0,0,1,0,"Rússia mobiliza aviões de combate em Belarus por crise na Ucrânia. Seis aviões de combate e três de transporte militar foram mobilizados. Medida é resposta às missões de reconhecimento da Otan."
0,1,0,0,1,0,1,"Ladrão rouba banco e tenta enganar a polícia ao raspar a barba. Caso ocorreu em Bonita Beach, no estado da Flórida. Apesar da mudança, Robert Souza acabou reconhecido."
1,0,0,0,0,0,1,"Gás natural deve ficar mais barato no Rio: Nos postos, preço deve cair em 6%, nas residências, em 2,75%. Novos valores passam a valer a partir desta sexta-feira (1)."
0,0,0,0,1,0,1,"Grife de luxo Lacroix pede proteção contra credores: Com decisão, pagamentos a credores foram suspensos. Proprietária tenta encontrar comprador para a marca há mais de um ano."
0,1,0,1,0,1,0,"Ferida em acidente no RS viaja mais de 500 km para conseguir leito em UTI. Mulher de 72 anos está internada na Santa Casa de Santana do Livramento. Acidente que deixou 28 pessoas feridas foi em Caiçara, no Norte do estado."
0,0,0,0,1,0,1,"Obama mexe na agenda e faz parada por um hambúrguer: Presidente e Joe Biden fizeram lanche na Virgínia. Ambos ficaram na fila como clientes 'comuns'."
0,1,0,1,0,1,0,"Vandalismo custa caro para o bolso do brasileiro: Rio gasta R$ 1,8 milhão por ano em limpeza e reparo de monumentos. Quando o imóvel é particular, o prejuízo sempre fica com o proprietário."
0,1,1,1,0,1,0,"Agente suspeito de facilitar tortura contra menor é preso em Cuiabá. Agente é suspeito de permitir estupro contra menor no Complexo Pomeri. Suspeito se entregou à polícia e, por meio da defesa, negou crime."
0,1,1,0,0,1,0,"Número de mortos em protestos na Venezuela chega a 28 mortos. Segundo procuradora-geral do país, outras 365 pessoas ficaram feridas. Venezuela vive há um mês onda de manifestações contra a insegurança."
0,0,1,0,0,1,0,"México tem mais quatro mortes em pacientes da nova gripe: Número de mortos eleva-se a 89, diz Ministério da Saúde. Só uma minoria de casos é recente, segundo o governo."
1,0,1,0,1,0,0,"Rapaz é preso após fazer ameaça de bomba por não conseguir sanduíche. Thomas Rupnik pediu lanche em centro comunitário em Sheboygan (EUA). Após ter pedido negado, rapaz disse que iria explodir o local."
0,0,1,0,0,1,0,"Vírus da nova gripe ainda afeta mais as crianças, diz agência da ONU: Mas número de casos cresce entre idosos, segundo a OMS. Agência reafirma que a vacina deve estar pronta para uso em setembro."
0,1,0,0,0,1,1,"Polícia do Senado não consegue localizar Agaciel para dar continuidade a inquérito: Investigação sobre nomeação indevida será prorrogada por 60 dias. Denúncia foi apresentada pelo senador Demóstenes Torres (DEM-GO)."
0,1,1,0,0,0,1,"EUA capturam suspeito de guardar explosivos em San Francisco. Polícia perseguiu homem depois de descobrir explosivos e carta suicida. Ryan Kelly Chamberlain tem 42 anos e é consultor de política e comunicação."
1,0,0,0,0,0,0,"Governo anuncia liberação de R$ 15 bilhões para a agricultura familiar: Valor será para a safra 2009/2010, diz ministro do Desenvolvimento Agrário. Deve ser criado também um seguro para investimento."
1,0,0,0,1,0,1,"Casal gay registra filho na Argentina, em caso inédito no mundo. Em 2010 a Argentina se tornou o primeiro país da América Latina a autorizar o casamento gay em nível nacional e o décimo do mundo"
0,0,0,0,1,1,0,"Engavetamento atingiu pelo menos 140 carros nos EUA. Episódio ocorreu no Texas, nesta quinta-feira, e deixou duas pessoas mortas, além de 80 feridos, 10 deles em estado."
0,1,0,1,1,0,0,"PF investiga despejo de lixo vindo da Europa nos portos do Brasil: Toneladas de sujeira desembarcaram escondidas em contêineres. Cinco empresas foram multadas pelo Ibama."
0,0,1,0,0,1,0,"Policial civil reage a assalto dentro de carro e mata suspeito, em Goiânia. Agente estava com a mulher, que é delegada, e a filha recém-nascida. Caso foi registrado como homicídio em legítima defesa, diz Polícia Civil."
0,1,0,0,0,1,1,"Justiça mantém decisão que tornou delegado Protógenes réu por violar sigilo: MPF pediu que juiz não aceitasse denúncia antes de ouvir Protógenes. Delegado da PF é acusado de vazar informações da Satiagraha."
0,1,1,0,0,1,0,"Passageiros temem assaltos durante viagens de ônibus no Paraná. Rota da PR-317 e BR-158 no sentido oeste viraram alvo de assaltantes"
1,0,0,0,0,0,0,"Brasileiro fica em 28º na Paralimpíada de Sochi. André Cintra, paulistano de 34 anos, tornou-se, nesta sexta-feira, o segundo brasileiro a participar de uma prova de Jogos Paralímpicos de Inverno."
1,0,0,0,1,0,0,"Gestantes com vaga temporária não podem ser demitidas. Este ano, empresários que contratarem funcionários temporários para o período das festas de Natal e Ano Novo devem ficar atentos a direitos extras conquistados por estes trabalhadores."
0,0,0,0,1,1,0,"Ambulante tem mal súbito e morre no Mineirão: Médico legista crê em enfarto fulminante. Homem vendia camisas do lado de fora do estádio."
1,0,1,0,0,1,0,"Instituto do Câncer Infantil capacita para diagnóstico precoce no RS. Constatar a doença cedo pode garantir a cura em 70% dos casos. Há quatro meses, a menina Ketley, de 10 anos, faz do hospital a sua casa."
0,0,0,0,1,0,1,"Chineses flagram homens pintando gramados para ficarem mais verdes. Moradores de Chengdu tiveram roupas manchadas por tinta. Representante afirma que tinta é apenas 'fertilizante verde'."
1,1,0,0,0,0,1,"Grevistas dos Correios voltam ao trabalho no Paraná. Categoria decidiu, em assembleia nesta quinta-feira, cumprir determinação do TST. Correios ainda não tem prazo para normalizar entrega de objetos em atraso"
1,0,0,0,1,0,1,"Emirados Árabes lançam ao espaço primeiro satélite do país: Lançador russo levou mais 5 satélites: 2 espanhóis, 2 argentinos e 1 inglês. DubaiSat 1 tem 190 kg e orbita a Terra a 680 quilômetros de altura."
0,1,1,0,0,1,0,"Rapaz de 23 anos é baleado na cabeça em Vila Velha: Jovem permanece internado em estado grave em hospital da cidade. Tiroteio teria ocorrido próximo a boate, segundo a polícia."
0,1,0,1,0,1,0,"Caso de bebê estrangulado em roubo de carro choca a China. Suspeito matou criança que dormia no carro e enterrou corpo na neve."
0,1,0,0,0,1,0,"Caso de racismo merecia pena mais forte, diz árbitro. Por causa das injúrias raciais contra Márcio Chagas da Silva, Esportivo perdeu cinco mandos de campo e recebeu uma multa de R$ 30 mil"
0,0,1,0,0,1,0,"Frio faz gripe suína se espalhar por países vizinhos ao Brasil: Chile registra mais de mil casos da doença. na Argentina, 127 foram confirmados nesta sexta-feira."
1,1,1,0,1,0,0,"Polícia prende homem suspeito de assaltar com arma de brinquedo. Prisão foi efetuada na noite desta quinta-feira (13). Policiais levaram o suspeito até a Delegacia Sede de Praia Grande."
1,0,0,0,1,0,0,"Irã liberta viúva condenada ao apedrejamento, diz comitê internacional. A viúva iraniana Sakineh Mohammadi-Ashtiani, condenada à morte por apedrejamento, foi libertada juntamente com o seu filho e o seu advogado, anunciou nesta quinta-feira (9) o Comitê Internacional Contra Apedrejamento, sediado na Alemanha."
0,0,0,0,0,1,0,"Haiti sofre com cólera depois da passagem do Furacão Sandy. Após a passagem do Furacão Sandy pelo Haiti, o país vive as dificuldades da reconstrução, além de problemas causados pela contaminação da bactéria que causa o cólera."
0,0,0,0,1,0,0,"Mulher acorda e encontra crocodilo de 3 m e 27 ovos no jardim de casa. Especialistas capturaram e transferiram animal para local adequado."
0,0,0,0,0,1,0,"Enchentes causam a morte de 4 pessoas em AL: Vítimas são mãe, filho, idosa de 100 anos e adolescente. Defesa Civil da capital já registrou mais de 30 ocorrências."
0,0,0,0,0,0,1,"Sem detalhes do que será discutido, revisão do Plano Diretor começa na segunda (17). Dez oficinas, 19 audiências públicas e canal interativo serão os meios de participação popular. Ippuc pretende enviar plano revisado à Câmara até o início de dezembro"
0,0,0,0,0,0,1,"Chávez apresenta neto de Allende como 'companheiro' da filha: Pablo Sepúlveda Allende é médico e neto de Salvador Allende. María, de 29 anos, é a segunda filha do primeiro casamento de Chávez."
0,0,1,0,0,1,0,"Chefe do PC chinês de Xinjiang ameaça executar envolvidos em protestos: Forças do governo tomaram as ruas da capital da província, Urumqi. Confrontos entre uigures, chineses han e a polícia já mataram 156."
0,1,1,1,0,0,0,"Jovem fingia ser modelo para aliciar crianças na web. Guilherme Donin é suspeito de chantagear menina de 12 anos na internet."
0,0,0,0,1,0,0,"Polícia encontra cocaína escondida em boneco do 'Shrek'. A Polícia Militar da cidade de Euclides da Cunha, município 311 km distante de Salvador, encontrou uma quantidade de cocaína dentro de um boneco do personagem Shrek na terça-feira, 11, após uma série de denúncias anônimas."
0,0,0,0,1,0,0,"Aprende-se mais com o sucesso do que com o erro, indica estudo: Testes de certo e errado foram aplicados a macacos em laboratório. Reação neuronal é mais forte quando teste anterior rendeu recompensa."
0,0,0,0,1,0,0,"Avô luta contra tubarão de 2 metros para salvar netos em praia da Austrália. A coragem do turista foi destaque em jornais do mundo todo."
0,0,0,0,0,0,1,"Colômbia se diz disposta a atuar como mediadora na Venezuela. Presidente colombiano disse que poderia fazer este papel. Ele destacou que evitará 'provocar' Caracas com seus comentários."
0,0,0,0,1,0,0,"Passageiro é flagrado com bagagem repleta de répteis na Alemanha. Homem viajava do México com destino à Espanha. Bagagem continha cobras, lagartos e diversas tartarugas."
0,0,0,0,1,0,0,"Formiga argentina emite substâncias para evitar ser enterrada viva: Sinais desaparecem uma hora após a morte do inseto, afirma estudo. Com remoção das moléculas, bichos vivos vão para 'lixão' da colônia."
1,0,0,0,0,0,1,"Carlinhos Brown e Guilherme Arantes cantam para 'namorados' na Bahia: Apresentação aconteceu na Costa do Sauípe nesta sexta-feira. Brown surpreendeu com músicas românticas na madrugada de sábado."
0,0,0,0,0,0,1,"Juiz aponta advogado para cuidar das finanças de óctuplos nos EUA: Mãe, Nadya Suleman, foi à audiência, mas não se pronunciou. Reality show que filmaria sua rotina depende de aprovação da Justiça."
0,1,1,0,0,0,0,"Moradores do PI ficam isolados após rompimento de barragem: Governo usa helicópteros e embarcações para resgatar famílias. Por medida de segurança, fornecimento de energia foi interrompido."
0,0,1,0,0,1,0,"Homem é morto com cerca de 40 tiros na Zona Norte de Porto Alegre. Crime aconteceu por volta das 19h de segunda-feira (19) no bairro Sarandi. Segundo a polícia, três armas estavam envolvidas no homicídio."
0,0,0,0,1,0,1,"Calouros escalam monumento coberto de banha em evento nos EUA. Jovens da academia naval de Maryland fizeram torre humana em cerimônia. Alunos sobem em obelisco de 6,4 m para marcar fim do ano de calouros."
0,0,1,0,0,0,0,"Mesmo com pandemia, população pode ficar 'tranquila', diz Ministério da Saúde: Ministra interina informou que transmissão permanece 'limitada' no país. Segundo ela, há 52 casos de Influenza A confirmados no Brasil."
0,1,1,0,0,0,0,"Mais de 8 mil empresas japonesas quebraram no primeiro semestre do ano: Somente em junho, 1.422 companhias quebraram, segundo pesquisa. Japão sofre com recessão."
0,0,0,0,0,1,0,"Construção desaba e mata idoso de 68 anos em Divinópolis. Vítima chegou a ser encaminhada para o pronto-socorro, mas não resistiu. Idoso estava na área interna da construção quando houve o desabamento."
0,0,0,0,1,0,0,"Testemunha capta explosão no Texas em vídeo. Explosão surpreende pai e filha que observavam à distância o incêndio em fábrica de fertilizantes próxima a Waco."
0,0,0,0,0,1,0,"Turquia prende quatro suspeitos de ataque que matou 44 em casamento: Noivos e clérigo que realizava a cerimônia estão entre as vítimas. Governo descartou terrorismo e disse que trata-se de briga de família."
0,1,0,0,0,1,0,"Trabalho forçado gera lucros anuais de US$ 150 bilhões, segundo OIT. Mulher é principal vítima, explorada sexualmente e no trabalho doméstico. Ao todo, 12 milhões de pessoas são forçadas ao trabalho na Ásia."
0,0,0,0,0,0,1,"Rússia lança nave Soyuz rumo à Estação Espacial Internacional (ISS): Canadense, belga e russo vão integrar tripulação do complexo orbital. Habitantes fixos da ISS, com isso, passarão a ser seis."
0,1,0,0,0,1,0,"Crianças morrem congeladas enquanto pais festejam Ano Novo. Filhos do casal tinham dois e três anos e foram encontradas mortas no banheiro da casa."
0,0,0,0,0,0,1,"Juventus cede empate à Fiorentina e complica objetivo de jogar final em casa. Após 1 a 1 em Turim, time de Florença passa a jogar por empate sem gols em casa para avançar às quartas de final da Liga Europa"
0,0,0,0,0,1,0,"Motociclista morre após ser atingido por linha com cerol em MG: Rapaz de 24 anos passava pela BR-116, em Governador Valadares. Segundo polícia, ele não tinha habilitação para dirigir motos."
1,0,0,0,0,0,0,"Turistas têm aulas de cozinha tradicional árabe em Petra: Petra Kitchen é mais uma grande brincadeira do que uma aula de fato. O trabalho é simples, mas o resultado no prato é excelente."
0,0,0,0,0,0,1,"Deputados gaúchos coletam nas ruas assinaturas para CPI contra Yeda: Parlamentares querem apoio de eleitores para investigação. CPI precisa de mais duas assinaturas de deputados para ser criada."
0,0,0,0,1,0,0,"Cientistas criam técnica que permite enxergar o que há dentro do cérebro. Método utiliza processos químicos e torna cérebro transparente."
0,0,1,0,0,0,0,"Militantes fazem barricada em torno de casa de líder na Nigéria: Extremistas islâmicos autodenominados Talibã deixaram mais de cem mortos em ataques contra civis e policiais no fim de semana."
0,0,0,0,0,0,1,"Alonso elogia Ferrari e mostra confiança para estreia. Depois de um ano tumultuado em seu relacionamento com a direção da Ferrari, Fernando Alonso iniciou a temporada 2014, com os treinos livres desta sexta-feira, elogiando a equipe e exibindo confiança para a abertura do campeonato, domingo, no GP da Austrália."
0,0,0,0,0,0,1,"Deputado protocola PEC que retoma obrigatoriedade do diploma de jornalismo: Paulo Pimenta (PT-RS) conseguiu 191 assinaturas na proposta. 'Jornalismo é mais que simples prestação de informação', diz."
1,0,0,1,0,0,0,"Homem que estuprou menina de 12 anos é preso. Acusado de estuprar e engravidar uma garota de 12 anos, o lavrador Edimilson Rodrigues Souza, o 'Baiano', de 56 anos, foi preso, no sábado (8/12)."
0,0,1,0,0,0,0,"Trem descarrila ao partir da Central do Brasil. Um trem da Supervia descarrilou por volta das 18h45 desta quinta-feira, 13, logo após partir da estação ferroviária Central do Brasil, no centro do Rio. Ninguém se feriu, mas os passageiros precisaram desembarcar e voltar para a estação."
0,0,0,0,0,0,1,"Após integração, marca Itaú deve decorar fachadas das agências: Itaú Unibanco divulgou resultado do 1º trimestre nesta terça-feira. Banco já fechou a financeira Taií, para dar espaço à Fininvest."
0,1,1,0,0,0,0,"Incêndio destrói fábrica de isopor em Minas Gerais: Fogo atingiu galpões onde eram mantidos material de escritório e isopor. Peritos vão determinar o que provocou as chamas."
0,0,0,0,0,0,1,"Por etanol, senador dos EUA ameaça adiar aprovação de embaixador no Brasil: Shannon, indicado por Obama, defende fim da tarifa ao álcool do Brasil. Grassley, senador republicano, é ferrenho defensor da cobrança."
0,0,1,0,0,0,0,"Vulcão intensifica erupção no Alasca e põe região em alerta vermelho. Vulcão soprou nuvem de fumaça e cinzas de mais de 7 mil metros. Alerta vermelho foi o primeiro desde 2009."
0,0,1,0,0,0,0,"Professora diz ter medo de dar aula após ameaça de aluna em Ribeirão. Docente alega que adolescente quer agredi-la dentro de escola estadual."
1,0,0,0,1,0,0,"Mercado no Kuwait vende melancias no formato de coração por R$ 790. Fruta curiosa é importada do Japão. Melancia é vendida em supermercado da capital."
0,0,0,0,1,0,0,"Britânica de 66 anos dá à luz um menino, diz jornal: Criança nasceu com aproximadamente 2,5 quilos. Ela se tornou a britânica mais velha a se tornar mãe."
0,0,0,0,0,0,1,"Sete cidades escolhem novo prefeito em eleição fora de época no domingo: Cinco cidades de MG, uma do RS e outra do RN terão eleição. Nesses locais, Justiça anulou resultado do pleito de outubro passado."
0,0,1,0,0,1,0,"Piloto morre em queda de ultraleve em Brasília. Acidente aconteceu perto da BR-251, em São Sebastião. Segundo os bombeiros, apenas a vítima estava na aeronave."
0,1,0,0,1,0,0,"Comissão da OAB pede liberação de presos por superlotação em delegacia: Mais de 40 detentos estão em 3 celas de delegacia em Mossoró (RN). Para secretário de Justiça, demora para julgamentos acarreta problema."
1,1,0,0,0,0,0,"Conhecido por agredir cadeirante, delegado Damasio Marino é preso. O delegado Damasio Marino, conhecido por ter agredido em 2011 um cadeirante em São José dos Campos, no interior de São Paulo, foi preso no começo da noite da última sexta-feira."
0,0,0,0,1,0,1,"Escritor Mario Vargas Llosa é retido em aeroporto na Venezuela: Peruano está no país para fórum sobre liberdade e propriedade privada. Segundo o fórum, ele será escoltado pela polícia até seu hotel."
0,1,1,0,0,0,0,"Polícia ainda não identificou suspeito de matar irmão de ex-senador em RO. A vítima foi alvejada com pelo menos dois tiros em Ariquemes. Equipe de policiais de Porto Velho deve auxiliar nas investigações."
1,0,0,0,1,0,0,"Zoológico alemão apresenta tigresas quadrigêmeas ao público: Mãe deu à luz bebês sem ajuda de veterinários, afirma parque. Felinas já têm pouco mais de um mês de vida."
0,1,0,0,0,1,0,"Prejuízo com as cheias em Rondônia deve passar de R$ 1 bi. Os projetos a serem desenvolvidos no estado dependem de uma engenharia especializada, pois além das estradas e pontes, existe a necessidade de construir protetores das encostas do rio"
0,1,0,0,1,0,0,"Avatar é o filme mais pirateado de 2010. Avatar, o maior sucesso mundial de bilheteria em todos os tempos, foi o filme mais pirateado do ano (foi baixado 16,6 milhões de vezes, segundo dados divulgados por um blog de partilha de arquivos, o TorrentFreak.com)."
0,0,1,0,0,0,0,"Israel mata um palestino em Gaza apesar de cessar-fogo. Soldados israelenses mataram um homem palestino a tiros e feriram 19 pessoas ao longo da fronteira da Faixa de Gaza com Israel nesta sexta-feira, segundo uma fonte do setor de saúde de Gaza."
0,0,1,0,0,0,0,"Vizinhos da mãe suspeita de matar bebê em Natal estão com medo. Muitas pessoas têm filhos pequenos, que brincam no pátio. A gente teme que ela volte aqui e seja capaz de fazer mal a qualquer um de nós', desabafou uma moradora que não quis se identificar."
0,0,0,0,0,0,1,"TJPE concede registro de dupla maternidade em certidão de gêmeos. Nomes das mães e dos avós maternos dos bebês estão no documento. Todo processo durou menos de 15 dias, informa advogado."
0,0,0,0,1,0,1,"Infectologistas desaprovam tabela para diferenciar gripe comum da gripe A: Ministério da Saúde não endossa orientações que circulam na internet. ‘Guias’ de diferenciação sintomática podem causar mais confusão."
0,0,1,0,0,0,0,"Rússia diz que defenderá seus compatriotas na Ucrânia. Enquanto isso, um navio russo descarregou tropas, caminhões e ao menos um veículo blindado para transporte de pessoal em um baía perto de Sebastopol, na Crimeia, centro da tensão"
0,0,0,0,0,0,1,"Lucro da Lojas Renner tem alta de 9,88%, para R$ 47,8 milhões: Resultados da empresa no 2º trimestre saíram nesta segunda-feira (27). No acumulado do 1º semestre, receita da rede superou R$ 1 bilhão."
0,0,0,0,0,1,0,"Chuvas deixam 10 mortos nas Filipinas: Ao menos 15 pessoas estão desaparecidas. Mau tempo fecha portos e provoca colapso na rede elétrica."
0,1,0,1,0,1,0,"Francesa admite que matou afogados dois bebês encontrados em congelado. A mulher, que mantinha o corpo de dois bebês congelados em sua casa no centro da França, declarou à polícia ter matado os dois recém-nascidos afogados."
1,0,0,0,0,0,1,"Centro comercial de Belém entra no ritmo da Copa do Mundo. Roupas e diversos adereços chamam a atenção dos consumidores. Camisas de marca não custam menos de R$ 200."
0,0,0,0,1,0,1,"Deputado diz ter 191 assinaturas em PEC do terceiro mandato: Jackson Barreto (PMDB-SE) deseja protocolar projeto nesta quinta-feira. Para valer para 2010, proposta precisa ser votada até o final de setembro."
0,0,1,0,1,0,1,"Torcida lembra da gripe suína no Maracanã: Torcedores do Flamengo foram com máscaras. Estádio recebeu a final do campeonato estadual."
1,0,1,0,0,0,1,"México lança pacote de estímulo econômico de US$ 2 bilhões: Objetivo é apoiar setores afetados pela nova gripe. Medidas fiscais totalizam cerca de 17,4 bilhões de pesos."
0,0,0,0,0,1,1,"Vendas de veículos caem 11,8% no mês de abril: Ao todo foram 368.780 unidades comercializadas no período. Mesmo com o desconto de Cofins, vendas de motos recuaram 9%."
0,0,0,0,0,0,1,"Fundação Sarney critica intervenção do Ministério Público: Presidente em exercício diz que 'é de se estranhar' reprovação das contas. Procedimento é administrativo e não é condenação, diz Fundação."
0,1,1,0,0,1,0,"Assaltos a postos de combustíveis crescem 70% no RS, diz polícia. Levantamento aponta 338 ocorrências em 2011 e 574 no ano passado. PM reconhece alta e diz que postos mais vulneráveis são monitorados."
0,1,0,0,0,1,0,"Mortos em explosão e desabamento de prédios em NY sobem para 8. Pelo menos 69 pessoas ficaram feridas, informaram as autoridades. Prefeito descreveu o fato como uma 'tragédia da pior classe'."
0,1,0,0,0,1,0,"Adolescente de 17 anos confessa ter deixado feto em cemitério de Irecê. Investigadores da Delegacia Territorial (DT) de Irecê já identificaram a estudante de 17 anos que deixou um feto, de aproximadamente seis meses, dentro de uma caixa de sapatos, no cemitério da cidade."
1,0,0,0,0,0,0,"Poetas cuiabanos são homenageados com declamações no Dia da Poesia. Evento será realizado no Centro Histórico de Cuiabá nesta sexta-feira (14). Programação contará com apresentações de músicas e comidas típicas."
1,0,0,0,0,0,1,"Vendas globais da Volkswagen sobem em maio pela 1ª vez no ano: Alta foi de 1,5% em maio na comparação com o mesmo mês de 2008. Crescimento foi puxado por performance forte na Alemanha e na China."
0,0,0,0,1,0,1,"Inmet registra julho mais chuvoso dos últimos 19 anos em Curitiba: Até terça-feira, foram registrados 166,5 mm. Permanência de frentes frias causou aumento nas precipitações."
0,1,0,0,0,0,1,"Álvaro Dias anuncia 'CPI paralela da Petrobras': PSDB pretende levar denúncias direto ao Ministério Público. Intenção é reagir a possível domínio do governo sobre a investigação."
0,1,0,0,1,0,1,"Diretores de empresas russas estão em lista de sanções da UE, diz jornal. Eles poderão sofrer proibições de viagem e congelamento de bens. Lista inclui ministros, autoridades de segurança e assessores do Kremlin."
0,1,1,0,0,1,0,"Policial é preso acusado de facilitar fuga na BA: Preso recapturado teria dito que agente receberia R$ 25 mil. Policial está detido na corregedoria e nega participação."
0,1,0,0,0,0,1,"Prefeitura de SP proíbe táxis nos corredores de ônibus. Atendendo a uma solicitação feita pelo Ministério Público Estadual, a Prefeitura de São Paulo decidiu proibir de vez os táxis de circularem nos corredores de ônibus da cidade nos horários de pico."
